fatimah	Nama Perempuan
fa'il	Yang berbuat
faedah	Guna
fataha	Mulai
fathah	Baris atas
fitnah	Benda yang tiada dikatakan ada berlaku
fatwa	Hukum daripada mufti
fajar	Cahaya
fidyah	Bayaran
faraj	Kemaluan perempuan
firdaus	Surga
fardu	Perkara yang wajib
fir'aun	Raja mesir
firqah	Pihak yang terpecah dan berasing-asing
firman	Perintah Tuhan
fasal	Bagian
fasih	Betul sebutan huruf serta lancar
fadal	Kalau bermakna
fuduli	Mencampuri
fadilat	Kebajikan
fakir	Yang kurang mampu
fikir	Timbangan akal
fana 	Binasa
faham	Mengerti
falah	Kekal dalam kemenangan
fulan	Si Anu
ghalib	Kebanyakan
ghaib	Lenyap
gharib	Orang luar
ghurub	Matahari masuk
ghazali	Nama imam
ghazal	Gurindam
ghafur	Yang amat mengampuni
ghalat	Salah
ghunnah	Bunyi menghidung mendengung
ghulam	Budak-budak
ghain	Ejaan nama huruf
gajus	Nama sejenis pokok jambu
gajah	Binatang darat yang besar sekali
gaji	Upah kerja
gaduh	Pertengkaran yang besar
gadai	Meletakkan barang kerana cagaran meminjam uang
gading	Taring gajah
gado-gado	Sejenis rujak makanan orang jawa
garu	Dikukut dnegan kuku bagi menghilangkan gatal
garau	Suara kasar dan keras
gasak	Buat sesuatu  dengan kuat dan kasar
gasing	Permainan yang dipusing
gapah	Pasangan bagi gopoh
gagang	Tangkai
gagau	Teraba-raba
galak	Garang
gali	Buat lubang
gaung	Celah bukit yang curam
gahar	Ganyah
gayang	Bergoyang badan
gayung	Pencedok air
ganyut	Keras pada ubi
gebur	Kembang dan gembur
getis	Memotobg bunga atau pucuk kayu
gedabah	Suatu sunting yang berjurai dipakai oleh pengantin
gedebak	Bunyi jatuh di atasa tanah
geraham	Gigi yang besar dibelakang
gertang	Keras
gertak	Ugut
gertuk	Bunyi seperti mengetuk atau berantuk
geram	Rasa hendak membuat apa-apa seperti berdendam
gerigut	Terkokol
gerigis	Bergigi-gigi banyak
gerinsing	Rambut kering
gegap	Gugup
gelanggang	Tempat bertanding
gelak	Tertawa
gelepai	Terjuntai
gelojoh	Kuat makan
gelut	Berhempas
gelosor	Melorot
gelugur	Jatuh kebawah
gelupur	Menghempas kerana hendak lepas atau hendak mati
gelupas	Tersoyat kulit seperti terkopes
gelokak	Pecah kulit serta kering
gelugut	Menggeletarkan karena takut sejuk
gelugur	Sejenis pokok dan buahnya masam
geluncur	Melorot turun seperti pada batang atau beting yang licin
gelonsor	Luncur
geli	Jijik
geliat	Menegangkan urat bdan ketika bangun tidur
geletek	Cucuk dengan hujung jari menjadikan seorang naik geli dan tertawa
gelecek	Menggelasar pada tempat licin atau curam
gelenggang	Sejenis dayn yang jadi ubat kurap atau ketiak yang berbau
gelekek 	Ketawa berlebih-lebih dan berbunyi kek-kek
gambus	Sejenis kecapi
gambir	penambah makanan untuk makan sirih
gentar	Takut
gantang	Sukatan empat cupak
gantung	Ditambat keatas dan benda yang ditambat itu tidak jejak kebawah
guruh	Bunyi yang menderu atau menderam
guri	Takar kecil
gorek	Sejenis buah yang jadi ubat
gusar	Susah hati
gosok	Ganyah,sapu dengan keras
gonggong	Gigit dibawa lari
gopoh	Hendak lekas
gugup	Riuh
gogok	Potong leher
golok	Senjata sepert tumbuk lada tetapi besar
gomol	Gigit berpusing-pusing
gundah	Sayu hati
guni	Karung
gulana	Gelisah berlebihan
goyang	Goncang
gonyel	Gigit dan kunyah dengan isi nya
gigil	Menggelatuk kerana sejuk atau takut
gemol	Gemuk
gentel	Gelek dengan anak jari dengan perlahan-lahan
genjang-genjot	Serong menyerong
gincu	Lipstik
habis	Selesai
habur	Tidak hemat
habuk	Debu
hadap	Halakan muka kepada sesuatu
harang	Bekas kayu yang terbakar
harap 	Mengharapkan
haru	Kacau
harung	Air dalam laut hingga arusnya pun keras
haruk	Amuk
hari	Waktu
hangat	Panas
hangit	Bau yang tidak sedap
hapit	Diletakkan diantara dua benda kemudian yang ditekan
halau	Suruh pergi dari suatu tempat dengan keras
halang	Sekat
hama	Binatang kecil
hamun	Maki
hamis	Bau seperti bau itik,kambing
hawa	Udara
hawar	Musim penyakit binatang 
haus	Dahaga
hayuk	Ayo
hanyut	Berjalan dibawa oleh air mengalir
hanyir	Bau atas rasa seperti ikan mentah
habuan	Bahagian
hebah	Pemberian
hijrah	Berpindah
hadapan	Pindah arah kesebelah muka
hartawan	Orang yang berharta
herdik	Bercakap dengan keras seperti orang marah
harloji	Jam kocek atau jam tangan
hadam	Hancur makanan dalam perut
hulu balang	Orang-orang termasyur gagah
haluan	Tujuan
halimun	Ilmu boleh menjadikan dirinya tidak nampak
hamba sahaya	Orang-orang yang ditebus 
hempedal	Ampela 
hempas	Campak kebawah
hampang	Ringan
hempalas	Daun yang kesat buat penggosok supaya licin
hamlar	Lawak
hantu	Benda ghaib
hantuk	Kenakan
hancur	Jadi lumat
hancai	Pecah
hancing	Bau sepeti jengkol atau kencing
hendak	Mahu
hindu	Bangsa india
hanuman	Dewa yang berupa monyet
hubung	Sambung
hutang	Barang yang diambil atas kira-kira
hodoh	Tiada molek
hogah	Goyang akan benda tercacak
huyung	Condong tergoyang-goyang
hias	pakaikan benda yang menambah elok pada pemandangan
hiba	Pilu perasaan
hebat	Kacak
hibur	Menghilangkan duka
heboh	Bising dan besar serta kacau bunyinya
hitam	Warna gelap
hitung	Bilang
heja	Merangkai huruf
hidung	Anggota penciuman pada muka
hidup	Bergerak
herang-herot	Bengkok-bengkok
hirup	hisap air masuk kemulut dengan berbunyi
heret	Tarik
hisap	Menghisap
hingar	Buat bising
hinggap	Bergerak ketepi
hengot	Jadi terbengkok
hingus	Lendir yang keluar dari hidung
helak	Melepaskan dari pada kena apa-apa
hailam	Suatu kaum bangsa cina yang datang dari negeri pulau Hainan
himbas	Angin bagi sesuatu benda yang lalu
